Date,SP
28/02/14,1
17/03/14,1.0001
18/03/14,1.0003
19/03/14,1.0003
20/03/14,1.0018
21/03/14,1.0006
24/03/14,1.0016
25/03/14,0.9992
26/03/14,0.9961
27/03/14,0.9967
28/03/14,0.9945
31/03/14,0.9911
01/04/14,0.995
02/04/14,0.9942
03/04/14,0.9946
04/04/14,0.9918
08/04/14,0.981
09/04/14,0.9828
10/04/14,0.9819
11/04/14,0.98
14/04/14,0.9809
15/04/14,0.9811
16/04/14,0.9845
17/04/14,0.9846
18/04/14,0.9942
21/04/14,0.9992
22/04/14,1.0037
23/04/14,1.0022
24/04/14,0.9954
25/04/14,0.9936
28/04/14,0.9993
29/04/14,0.9957
30/04/14,1.0022
05/05/14,1.0026
06/05/14,1.0053
07/05/14,1.006
08/05/14,1.0113
09/05/14,1.0093
12/05/14,0.9997
13/05/14,0.996
14/05/14,0.9982
15/05/14,1.002
16/05/14,1.0138
19/05/14,1.0162
20/05/14,1.0207
21/05/14,1.0248
22/05/14,1.0258
23/05/14,1.0208
26/05/14,1.0115
27/05/14,1.0102
28/05/14,1.0163
29/05/14,1.0229
30/05/14,1.0324
03/06/14,1.039
04/06/14,1.0417
05/06/14,1.0353
06/06/14,1.0289
09/06/14,1.0337
10/06/14,1.0373
11/06/14,1.0376
12/06/14,1.0467
13/06/14,1.0397
16/06/14,1.0394
17/06/14,1.0427
18/06/14,1.0399
19/06/14,1.0396
20/06/14,1.0334
23/06/14,1.0252
24/06/14,1.0242
25/06/14,1.0232
26/06/14,1.0208
27/06/14,1.0251
30/06/14,1.0319
01/07/14,1.0312
02/07/14,1.0259
03/07/14,1.0321
04/07/14,1.0364
07/07/14,1.0396
08/07/14,1.0406
09/07/14,1.0455
10/07/14,1.0453
11/07/14,1.0529
14/07/14,1.0553
15/07/14,1.0513
16/07/14,1.0532
17/07/14,1.0513
18/07/14,1.0545
21/07/14,1.0546
22/07/14,1.0654
23/07/14,1.0718
24/07/14,1.0697
25/07/14,1.0745
28/07/14,1.0767
29/07/14,1.069
30/07/14,1.0663
31/07/14,1.069
01/08/14,1.0792
04/08/14,1.081
05/08/14,1.0712
06/08/14,1.0706
07/08/14,1.062
08/08/14,1.0659
11/08/14,1.0728
12/08/14,1.0821
13/08/14,1.0801
14/08/14,1.094
15/08/14,1.1021
18/08/14,1.1062
19/08/14,1.1064
20/08/14,1.1113
21/08/14,1.1083
22/08/14,1.1113
25/08/14,1.1136
26/08/14,1.1084
27/08/14,1.1043
28/08/14,1.1108
29/08/14,1.1128
01/09/14,1.1211
02/09/14,1.1275
03/09/14,1.1404
04/09/14,1.1466
05/09/14,1.1612
09/09/14,1.1684
10/09/14,1.1721
11/09/14,1.1732
12/09/14,1.1731
15/09/14,1.1612
16/09/14,1.1391
17/09/14,1.1367
18/09/14,1.1399
19/09/14,1.1636
22/09/14,1.1866
23/09/14,1.1964
24/09/14,1.2011
25/09/14,1.2042
26/09/14,1.2021
29/09/14,1.2056
30/09/14,1.1769
08/10/14,1.1869
09/10/14,1.1822
10/10/14,1.1796
13/10/14,1.173
14/10/14,1.1671
15/10/14,1.1715
16/10/14,1.1738
17/10/14,1.1781
20/10/14,1.1895
21/10/14,1.1834
22/10/14,1.1782
23/10/14,1.1742
24/10/14,1.1674
27/10/14,1.1749
28/10/14,1.181
29/10/14,1.1797
30/10/14,1.173
31/10/14,1.1962
03/11/14,1.1819
04/11/14,1.1852
05/11/14,1.1897
06/11/14,1.1953
07/11/14,1.1839
10/11/14,1.191
11/11/14,1.1916
12/11/14,1.1815
13/11/14,1.1825
14/11/14,1.1884
17/11/14,1.1809
18/11/14,1.1875
19/11/14,1.1823
20/11/14,1.1786
21/11/14,1.1914
24/11/14,1.1958
25/11/14,1.2112
26/11/14,1.2129
27/11/14,1.2112
28/11/14,1.222
01/12/14,1.2619
02/12/14,1.2605
03/12/14,1.2789
04/12/14,1.2807
05/12/14,1.2814
08/12/14,1.3067
09/12/14,1.3232
10/12/14,1.3025
11/12/14,1.2965
12/12/14,1.2886
15/12/14,1.2862
16/12/14,1.3081
17/12/14,1.3268
18/12/14,1.3411
19/12/14,1.3417
22/12/14,1.3296
23/12/14,1.3426
24/12/14,1.3366
25/12/14,1.3411
26/12/14,1.3532
29/12/14,1.3413
30/12/14,1.3195
31/12/14,1.3003
05/01/15,1.3366
06/01/15,1.3193
07/01/15,1.3144
08/01/15,1.3021
09/01/15,1.3061
12/01/15,1.3109
13/01/15,1.322
14/01/15,1.3241
15/01/15,1.3317
16/01/15,1.3244
19/01/15,1.2843
20/01/15,1.2963
21/01/15,1.2993
22/01/15,1.2938
23/01/15,1.3005
26/01/15,1.3223
27/01/15,1.314
28/01/15,1.3111
29/01/15,1.3087
30/01/15,1.315
02/02/15,1.3009
03/02/15,1.2877
04/02/15,1.2652
05/02/15,1.2747
06/02/15,1.2517
09/02/15,1.2592
10/02/15,1.2623
11/02/15,1.2711
12/02/15,1.2755
13/02/15,1.2579
16/02/15,1.2464
25/02/15,1.2608
26/02/15,1.2572
27/02/15,1.2524
02/03/15,1.2418
03/03/15,1.229
04/03/15,1.2384
05/03/15,1.2464
06/03/15,1.2545
09/03/15,1.258
10/03/15,1.2601
11/03/15,1.2726
12/03/15,1.2733
13/03/15,1.2623
16/03/15,1.2734
17/03/15,1.2788
18/03/15,1.2992
19/03/15,1.2923
20/03/15,1.2962
23/03/15,1.2956
24/03/15,1.2845
25/03/15,1.2982
26/03/15,1.2964
27/03/15,1.3151
30/03/15,1.3439
31/03/15,1.3428
01/04/15,1.3538
02/04/15,1.372
06/04/15,1.3779
07/04/15,1.3764
08/04/15,1.3873
09/04/15,1.3904
10/04/15,1.4243
13/04/15,1.4206
14/04/15,1.4065
15/04/15,1.4
16/04/15,1.4
17/04/15,1.4149
20/04/15,1.4192
21/04/15,1.4275
22/04/15,1.4185
23/04/15,1.4153
24/04/15,1.3971
27/04/15,1.3935
28/04/15,1.3803
29/04/15,1.3895
01/05/15,1.3836
04/05/15,1.3885
05/05/15,1.3614
06/05/15,1.3612
07/05/15,1.3545
08/05/15,1.3449
11/05/15,1.3488
12/05/15,1.3526
13/05/15,1.3546
14/05/15,1.3489
15/05/15,1.3422
18/05/15,1.3278
19/05/15,1.343
20/05/15,1.3399
21/05/15,1.3391
22/05/15,1.3472
25/05/15,1.3591
26/05/15,1.3658
27/05/15,1.3677
28/05/15,1.3464
29/05/15,1.3422
01/06/15,1.3581
02/06/15,1.3608
03/06/15,1.3532
04/06/15,1.3521
05/06/15,1.3606
08/06/15,1.3752
09/06/15,1.3653
10/06/15,1.3673
11/06/15,1.3675
12/06/15,1.3891
15/06/15,1.3926
16/06/15,1.3816
17/06/15,1.384
18/06/15,1.3684
22/06/15,1.3504
23/06/15,1.3448
24/06/15,1.3548
25/06/15,1.3571
26/06/15,1.353
29/06/15,1.3576
30/06/15,1.3784
01/07/15,1.3751
02/07/15,1.3677
03/07/15,1.3503
06/07/15,1.3857
07/07/15,1.4149
08/07/15,1.5143
09/07/15,1.483
10/07/15,1.4358
13/07/15,1.4527
14/07/15,1.4537
15/07/15,1.4599
16/07/15,1.4698
17/07/15,1.4681
20/07/15,1.4762
21/07/15,1.4776
22/07/15,1.492
23/07/15,1.5077
24/07/15,1.5207
27/07/15,1.528
28/07/15,1.5394
29/07/15,1.5076
30/07/15,1.511
31/07/15,1.4947
03/08/15,1.5039
04/08/15,1.5248
05/08/15,1.5104
06/08/15,1.5227
07/08/15,1.54
10/08/15,1.5287
11/08/15,1.482
12/08/15,1.465
13/08/15,1.418
14/08/15,1.424
17/08/15,1.4355
18/08/15,1.4488
19/08/15,1.4686
20/08/15,1.4636
21/08/15,1.4571
24/08/15,1.5054
25/08/15,1.5372
26/08/15,1.5317
27/08/15,1.5383
28/08/15,1.4919
31/08/15,1.4981
01/09/15,1.5016
04/09/15,1.5087
07/09/15,1.5103
08/09/15,1.5084
09/09/15,1.4669
10/09/15,1.4799
11/09/15,1.4618
14/09/15,1.4782
15/09/15,1.4905
16/09/15,1.4952
17/09/15,1.478
18/09/15,1.4798
21/09/15,1.4962
22/09/15,1.5024
23/09/15,1.5204
24/09/15,1.5137
25/09/15,1.5043
28/09/15,1.5223
29/09/15,1.5525
30/09/15,1.5385
08/10/15,1.5165
09/10/15,1.502
12/10/15,1.4846
13/10/15,1.501
14/10/15,1.5013
15/10/15,1.5053
16/10/15,1.5146
19/10/15,1.5198
20/10/15,1.539
21/10/15,1.5452
22/10/15,1.5411
23/10/15,1.5562
26/10/15,1.5707
27/10/15,1.5845
28/10/15,1.5852
29/10/15,1.5825
30/10/15,1.5771
02/11/15,1.5794
03/11/15,1.5849
04/11/15,1.5786
05/11/15,1.5802
06/11/15,1.5911
09/11/15,1.5835
10/11/15,1.6011
11/11/15,1.6228
12/11/15,1.6273
13/11/15,1.6324
16/11/15,1.6416
